2025-03-15 22:12:40 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:12:40 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 22:12:40 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
2025-03-15 22:12:40 | INFO     | src.utils.db_manager:init_db:72 - データベーススキーマが初期化されました
2025-03-15 22:12:40 | INFO     | src.api.main:<module>:84 - 静的ファイルディレクトリをマウントしました: C:\Users\nyham\work\sampletest\static, C:\Users\nyham\work\sampletest\data\reports
2025-03-15 22:12:40 | INFO     | src.core.config:setup_directories:145 - アプリケーションディレクトリを作成しました
2025-03-15 22:12:40 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:12:40 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 22:12:40 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:30:37 | INFO     | src.utils.db_manager:close_db_connections:121 - データベース接続を閉じました
2025-03-15 22:30:42 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:30:42 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 22:30:42 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:30:42 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 22:30:42 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
2025-03-15 22:30:42 | INFO     | src.utils.db_manager:init_db:72 - データベーススキーマが初期化されました
2025-03-15 22:30:42 | INFO     | src.api.main:<module>:84 - 静的ファイルディレクトリをマウントしました: C:\Users\nyham\work\sampletest\static, C:\Users\nyham\work\sampletest\data\reports
2025-03-15 22:30:42 | INFO     | src.core.config:setup_directories:145 - アプリケーションディレクトリを作成しました
2025-03-15 22:30:42 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:30:42 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 22:30:42 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:35:38 | INFO     | src.utils.db_manager:close_db_connections:121 - データベース接続を閉じました
2025-03-15 22:35:44 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:35:44 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 22:35:44 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:35:44 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 22:35:44 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
2025-03-15 22:35:44 | INFO     | src.utils.db_manager:init_db:72 - データベーススキーマが初期化されました
2025-03-15 22:35:44 | INFO     | src.api.main:<module>:84 - 静的ファイルディレクトリをマウントしました: C:\Users\nyham\work\sampletest\static, C:\Users\nyham\work\sampletest\data\reports
2025-03-15 22:35:44 | INFO     | src.core.config:setup_directories:145 - アプリケーションディレクトリを作成しました
2025-03-15 22:35:44 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 22:35:44 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 22:35:44 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 22:40:39 | INFO     | src.utils.db_manager:close_db_connections:121 - データベース接続を閉じました
2025-03-15 23:38:58 | INFO     | src.api.main:create_audit_procedure:243 - 監査手続きを登録しました: 1e8f9dc6-ceba-4b6e-8437-8fa27105feb7
2025-03-15 23:39:15 | INFO     | src.api.main:create_audit_procedure:243 - 監査手続きを登録しました: 91017a04-c45c-49ff-8a0d-5604aee46cf8
2025-03-15 23:40:49 | ERROR    | src.utils.db_manager:get_db:85 - データベースセッション使用中にエラー: 404: サンプルデータが見つかりません: sample-test-123
2025-03-15 23:54:25 | INFO     | src.api.main:create_audit_procedure:243 - 監査手続きを登録しました: 94a51860-4aec-4d1c-bb22-f3848f809252
